ViewsID,CustomerID,Genre,Format,Device,Viewing_Frequency,Total_Viewing_Time,Rating
1,1,Religion,TV-Shows,Decoder,4,72777,4
2,2,Comedy,Live-Events,Tv-App,5,251472,2
3,3,Comedy,TV-Shows,Tv-App,11,137732,4
4,4,Sports,TV-Shows,Tv-App,2,105950,2
5,5,Music,Live-Events,Browser,7,464270,3
6,6,Music,Live-Events,Tv-App,6,460985,1
7,7,Comedy,Live-Events,Mobile-App,1,106246,4
8,8,Documentaries,Live-Events,Browser,10,338696,5
9,9,News,TV-Shows,Decoder,2,214481,3
10,10,Sports,Live-Events,Decoder,11,7113,4
11,11,Religion,Live-Events,Decoder,7,86630,4
12,12,Sports,Live-Events,Tv-App,1,132276,3
13,13,Cartoons,Live-Events,Decoder,7,467100,5
14,14,Action,Live-Events,Tv-App,5,46084,4
15,15,Comedy,TV-Shows,Mobile-App,8,294515,3
16,16,Religion,Live-Events,Decoder,11,31486,3
17,17,Talk-Shows,TV-Shows,Browser,11,292776,3
18,18,Comedy,Live-Events,Tv-App,1,501515,2
19,19,Reality,TV-Shows,Mobile-App,4,566312,4
20,20,Documentaries,TV-Shows,Browser,10,195176,2
21,21,Cartoons,Live-Events,Decoder,4,323985,4
22,22,Talk-Shows,TV-Shows,Decoder,2,270356,5
23,23,Music,Live-Events,Tv-App,6,325212,5
24,24,Music,TV-Shows,Tv-App,8,526865,2
25,25,Talk-Shows,TV-Shows,Mobile-App,9,572492,4
26,26,Reality,TV-Shows,Tv-App,7,4819,1
27,27,Talk-Shows,Live-Events,Decoder,1,205508,2
28,28,Cartoons,Live-Events,Mobile-App,11,200272,2
29,29,Cartoons,TV-Shows,Tv-App,9,520345,2
30,30,Cartoons,Live-Events,Decoder,3,265021,3
31,31,Comedy,Live-Events,Decoder,4,128677,2
32,32,Reality,Live-Events,Decoder,4,82811,2
33,33,Reality,Live-Events,Mobile-App,3,265991,4
34,34,Sports,TV-Shows,Browser,1,300015,4
35,35,Religion,TV-Shows,Decoder,9,47871,5
36,36,Talk-Shows,Live-Events,Mobile-App,5,311871,3
37,37,Cartoons,Live-Events,Decoder,2,15865,4
38,38,Talk-Shows,TV-Shows,Tv-App,6,596618,1
39,39,Comedy,Live-Events,Decoder,1,463106,3
40,40,Action,TV-Shows,Tv-App,8,551300,3
41,41,Music,Live-Events,Tv-App,1,433819,4
