,0
0,0
1,0
2,1
3,0
4,1
5,0
6,1
7,1
8,1
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,1
17,1
18,1
19,0
20,0
21,1
22,1
23,0
24,1
25,1
26,1
27,1
28,1
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,0
44,0
45,1
46,0
47,0
48,1
49,1
50,1
51,0
52,1
53,1
54,1
55,1
56,0
57,1
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,0
75,1
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,1
84,1
85,0
86,1
87,0
88,1
89,1
90,0
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,0
105,1
106,0
107,1
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,1
116,0
117,1
118,0
119,1
120,1
121,0
122,0
123,1
124,1
125,1
126,0
127,0
128,1
129,0
130,1
131,0
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,0
140,0
141,1
142,1
143,1
144,1
145,1
146,1
147,0
148,1
149,0
150,1
151,0
152,1
153,1
154,1
155,0
156,1
157,1
158,0
159,0
160,1
161,0
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,0
170,1
171,0
172,0
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,0
184,0
185,0
186,1
187,1
188,1
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,0
199,1
200,0
201,1
202,1
203,1
204,0
205,1
206,1
207,0
208,0
209,1
210,1
211,0
212,1
213,0
214,0
215,1
216,1
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,0
225,1
226,0
227,1
228,1
229,0
230,1
231,0
232,1
233,1
234,0
235,1
236,0
237,0
238,1
239,0
240,1
241,1
242,0
243,1
244,1
245,1
246,0
247,0
248,1
249,1
250,0
251,0
252,0
253,1
254,1
255,0
256,0
257,0
258,1
259,1
260,1
261,1
262,0
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,0
271,0
272,1
273,1
274,1
275,1
276,0
277,0
278,0
279,0
280,0
281,1
282,0
283,0
284,1
285,0
286,1
287,1
288,1
289,1
290,1
291,0
292,1
293,1
294,0
295,1
296,1
297,1
298,0
299,0
300,1
301,1
302,0
303,1
304,0
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,1
313,1
314,1
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,0
327,1
328,1
329,1
330,0
331,1
332,1
333,0
334,1
335,0
336,0
337,0
338,0
339,1
340,0
341,1
342,1
343,0
344,1
345,1
346,1
347,0
348,0
349,0
350,1
351,0
352,0
353,1
354,1
355,1
356,0
357,1
358,1
359,1
360,1
361,0
362,0
363,1
364,1
365,1
366,1
367,0
368,1
369,1
370,0
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,0
380,1
381,1
382,1
383,0
384,1
385,1
386,1
387,1
388,1
389,0
390,0
391,1
392,1
393,1
394,1
395,1
396,1
397,0
398,1
399,1
400,1
401,1
402,0
403,0
404,1
405,1
406,1
407,0
408,1
409,0
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,1
427,0
428,0
429,0
430,1
431,0
432,1
433,0
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,0
444,1
445,1
446,1
447,0
448,1
449,0
450,1
451,1
452,0
453,1
454,0
455,1
456,1
457,0
458,1
459,1
460,1
461,0
462,0
463,1
464,1
465,1
466,0
467,1
468,0
469,0
470,1
471,0
472,1
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,0
481,1
482,1
483,1
484,1
485,1
486,1
487,0
488,1
489,1
490,0
491,1
492,1
493,1
494,1
495,0
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,0
504,1
505,1
506,1
507,0
508,1
509,1
510,1
511,0
512,1
513,1
514,1
515,1
516,1
517,0
518,1
519,1
520,0
521,1
522,0
523,0
524,0
525,1
526,1
527,0
528,1
529,1
530,0
531,0
532,1
